48 1128
1 2 472665
1 3 120434
1 4 636250
1 5 365699
1 6 312952
1 7 241352
1 8 56230
1 9 46208
1 10 565350
1 11 171235
1 12 160356
1 13 236719
1 14 220036
1 15 128944
1 16 100388
1 17 383268
1 18 225759
1 19 341890
1 20 226698
1 21 295602
1 22 71995
1 23 169931
1 24 527815
1 25 257788
1 26 607546
1 27 346467
1 28 265368
1 29 362464
1 30 311492
1 31 157315
1 32 395006
1 33 174735
1 34 214123
1 35 675423
1 36 238211
1 37 330589
1 38 102890
1 39 352928
1 40 82431
1 41 218700
1 42 481939
1 43 348898
1 44 194690
1 45 683431
1 46 154172
1 47 237853
1 48 374307
2 3 358742
2 4 201166
2 5 184140
2 6 697677
2 7 650000
2 8 518686
2 9 502770
2 10 232683
2 11 414782
2 12 472274
2 13 363491
2 14 312414
2 15 490611
2 16 392965
2 17 746278
2 18 633710
2 19 724233
2 20 510455
2 21 404294
2 22 402137
2 23 367623
2 24 286258
2 25 310593
2 26 184915
2 27 717287
2 28 662900
2 29 120318
2 30 681308
2 31 600058
2 32 344690
2 33 525222
2 34 265555
2 35 312258
2 36 627340
2 37 718276
2 38 562192
2 39 308411
2 40 456301
2 41 275506
2 42 159090
2 43 702670
2 44 618567
2 45 347120
2 46 546074
2 47 438905
2 48 208727
3 4 516202
3 5 245786
3 6 367739
3 7 307036
3 8 174199
3 9 144358
3 10 446198
3 11 118362
3 12 151996
3 13 149715
3 14 110274
3 15 150085
3 16 95023
3 17 429745
3 18 290244
3 19 396638
3 20 216879
3 21 220889
3 22 65164
3 23 82711
3 24 413579
3 25 151727
3 26 487296
3 27 395305
3 28 325305
3 29 244598
3 30 358028
3 31 244056
3 32 295962
3 33 196515
3 34 94929
3 35 556366
3 36 291505
3 37 387776
3 38 203456
3 39 248196
3 40 102693
3 41 139487
3 42 361690
3 43 389077
3 44 268526
3 45 566020
3 46 202299
3 47 186616
3 48 255995
4 5 279867
4 6 806371
4 7 772678
4 8 687726
4 9 658034
4 10 140170
4 11 536560
4 12 594598
4 13 467898
4 14 437700
4 15 622477
4 16 570859
4 17 841699
4 18 757725
4 19 829538
4 20 613493
4 21 480140
4 22 570634
4 23 498187
4 24 232181
4 25 417734
4 26 31984
4 27 818560
4 28 779994
4 29 277730
4 30 785802
4 31 740799
4 32 376292
4 33 646056
4 34 422212
4 35 142601
4 36 745072
4 37 826297
4 38 713039
4 39 366838
4 40 601093
